Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2016-03-11T17:00:00Z,SPY,178.289970688,-923,Market,Filled,-164561.64294502,Liquidated - Warning: No quote information available at 03/11/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-11T18:00:00Z,SPY,178.237076116,923,Market,Filled,164512.82125507,Warning: No quote information available at 03/11/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-06-06T15:00:00Z,SPY,187.27249513,-923,Market,Filled,-172852.51300499,Liquidated - Warning: No quote information available at 06/06/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-06-06T16:00:00Z,SPY,187.18388318,924,Market,Filled,172957.90805832,Warning: No quote information available at 06/06/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-06-27T15:00:00Z,SPY,177.114085428,-924,Market,Filled,-163653.41493547,Liquidated - Warning: No quote information available at 06/27/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-06-27T16:00:00Z,SPY,177.924655825,920,Market,Filled,163690.683359,Warning: No quote information available at 06/27/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-07-01T14:00:00Z,SPY,187.072521734,-920,Market,Filled,-172106.71999528,Liquidated - Warning: No quote information available at 07/01/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-07-01T15:00:00Z,SPY,187.402094313,918,Market,Filled,172035.12257933,Warning: No quote information available at 07/01/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-11-21T18:00:00Z,SPY,196.887690432,-918,Market,Filled,-180742.89981658,Liquidated - Warning: No quote information available at 11/21/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-11-21T19:00:00Z,SPY,196.887690432,918,Market,Filled,180742.89981658,Warning: No quote information available at 11/21/2016 14:00:00 America/New_York, order filled using TradeBar data 
2017-01-25T21:00:00Z,SPY,206.604272768,-918,Market On Open,Filled,-189662.72240102,Liquidated 
2017-01-26T15:00:00Z,SPY,206.730349824,917,Market,Filled,189571.73078861,Warning: No quote information available at 01/26/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-05-09T14:00:00Z,SPY,217.069707052,-917,Market,Filled,-199052.92136668,Liquidated - Warning: No quote information available at 05/09/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-05-09T15:00:00Z,SPY,217.03352726,917,Market,Filled,199019.74449742,Warning: No quote information available at 05/09/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-09-18T14:00:00Z,SPY,228.346675,-917,Market,Filled,-209393.900975,Liquidated - Warning: No quote information available at 09/18/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-09-18T15:00:00Z,SPY,228.246202463,918,Market,Filled,209530.01386103,Warning: No quote information available at 09/18/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-11-28T20:00:00Z,SPY,239.690937814,-918,Market,Filled,-220036.28091325,Liquidated - Warning: No quote information available at 11/28/2017 15:00:00 America/New_York, order filled using TradeBar data 
2017-11-28T21:00:00Z,SPY,240.266371435,916,Market On Open,Filled,220083.99623446, 
2018-01-09T17:00:00Z,SPY,252.418757298,-916,Market,Filled,-231215.58168497,Liquidated - Warning: No quote information available at 01/09/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-01-09T18:00:00Z,SPY,252.437119032,915,Market,Filled,230979.96391428,Warning: No quote information available at 01/09/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-02-08T21:00:00Z,SPY,239.565543498,-915,Market On Open,Filled,-219202.47230067,Liquidated 
2018-02-09T15:00:00Z,SPY,239.391107025,916,Market,Filled,219282.2540349,Warning: No quote information available at 02/09/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-02-16T17:00:00Z,SPY,252.088246086,-916,Market,Filled,-230912.83341478,Liquidated - Warning: No quote information available at 02/16/2018 12:00:00 America/New_York, order filled using TradeBar data 
